央视频道,#genre#
CCTV6,https://www.1905.com/cctv6/live/?index
短视频,http://api.yujn.cn/api/xjj.php
1905电影,http://php.jdshipin.com:8880/1905.php?id=1905dy#.m3u8
咪咕体育,http://php.jdshipin.com:8880/itv6.php?cid=FifastbLive&id=3000000010000005180#.m3u8
纯享4K,http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000004000011651#.m3u8
欢笑剧场4K,http://php.jdshipin.com:8880/itv6s.php?cid=bestzb&id=5000000007000010001#.m3u8
北京纪实8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
爱上4K,http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000459#.m3u8
华数4K影视,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000014#.m3u8
苏州4K频道,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
